,w53h6u4k,gux8ixql,rmfyq9p4,ekqjr6df,8r01d3y7,ixrz34rv
225,1402,1190,972,1180.0,1248,506.0
226,1194,1256,1156,876.0,1186,486.0
227,1198,1294,1346,1292.0,1274,478.0
228,1184,1352,1122,1144.0,1252,460.0
229,1032,1272,1010,1102.0,1504,532.0
230,1112,1354,1034,1058.0,1336,536.0
231,1082,1332,1116,1222.0,1274,516.0
232,924,1326,1230,1260.0,1270,486.0
233,1078,1210,1200,1448.0,1268,474.0
234,986,1214,1198,1392.0,1294,508.0
235,996,1318,1244,1366.0,1280,462.0
236,1302,1462,1400,1208.0,1230,504.0
237,1126,1398,1310,1332.0,1256,492.0
238,1032,1228,1098,1488.0,1190,464.0
239,978,1292,1312,1432.0,1322,414.0
240,1184,1246,1260,1456.0,1278,426.0
241,1244,1316,1134,1336.0,1168,466.0
242,1070,1366,1170,1458.0,1090,506.0
243,1090,1296,1160,1250.0,998,432.0
244,1170,1358,1148,1314.0,1298,414.0
245,1302,1442,1128,1260.0,1224,402.0
246,1174,1320,1160,1182.0,1170,458.0
247,1174,1254,1036,1182.0,1326,458.0
248,1162,1286,1174,1366.0,1256,490.0
249,1004,1318,1166,1344.0,1158,514.0
250,1026,1206,1214,1148.0,1262,508.0
251,1038,1252,1068,1148.0,1132,522.0
252,1358,1370,1074,1374.0,1190,524.0
253,1320,1064,1068,1278.0,1350,548.0
254,1336,966,1100,1230.0,1164,548.0
255,1168,900,1112,1458.0,1256,580.0
256,1218,1072,1200,1464.0,1138,542.0
257,1460,1156,1198,1352.0,1148,514.0
258,1306,994,970,1552.0,1128,478.0
259,1234,980,1186,1302.0,1116,548.0
260,1142,1010,1250,1306.0,1490,550.0
261,1142,958,1220,1326.0,1102,574.0
262,1124,1162,1386,1054.0,1128,600.0
263,1156,1200,1200,1198.0,1320,622.0
264,1314,1248,1448,1478.0,1186,602.0
265,1376,1288,1186,1148.0,1208,620.0
266,1414,1318,1236,1440.0,1204,628.0
267,1332,1322,1316,1380.0,1500,626.0
268,1354,1396,1464,1338.0,1206,590.0
269,1126,1382,1410,1320.0,1094,594.0
270,1254,1426,1272,1030.0,1096,612.0
271,1420,1286,1382,1038.0,1014,606.0
272,1096,1316,1470,1516.0,974,648.0
273,1292,1372,1222,1388.0,1106,616.0
274,1290,1414,1308,1290.0,968,588.0
275,1248,1250,1242,1258.0,1272,546.0
276,1410,1268,1394,1406.0,1186,528.0
277,1106,1372,1398,1444.0,1312,506.0
278,1306,1424,1232,1374.0,1122,518.0
279,1390,1428,1306,1316.0,944,524.0
280,1382,1408,1258,1306.0,1016,524.0
281,1178,1364,1592,1236.0,1006,562.0
282,1170,1442,1170,1270.0,1202,568.0
283,1100,1414,1256,1288.0,1200,576.0
284,1314,1358,1362,1482.0,1320,658.0
285,1218,1428,1386,1278.0,1358,658.0
286,1210,1448,1380,1352.0,1244,624.0
287,1235,1342,1530,1506.0,1292,634.0
288,1424,1420,1218,1400.0,1192,634.0
289,1314,1390,1374,1426.0,1230,654.0
290,1162,1404,1344,1396.0,1288,602.0
291,1280,1470,1264,1442.0,1362,580.0
292,1208,1382,1280,1450.0,1370,576.0
293,1140,1410,1570,1696.0,1304,622.0
294,1178,1500,1556,1492.0,1196,650.0
295,1186,1404,1390,1362.0,1272,624.0
296,1176,1442,1410,1308.0,1288,646.0
297,1118,1414,1338,1530.0,1208,648.0
