,itafwycc,4oje7yx4,oqy9kqe9,gciysixg,o8ec1u1z,bssjwg68
354,1456,746,1484,1330,1356,748
355,1450,746,1528,1278,1366,736
356,1482,712,1494,1436,1458,748
357,1388,774,1526,1212,1388,718
358,1390,736,1428,1306,1480,718
359,1438,786,1468,1306,1514,688
360,1432,804,1532,1200,1474,688
361,1458,908,1546,1272,1490,706
362,1462,796,1500,1386,1504,716
363,1478,790,1494,1218,1500,716
364,1466,818,1592,1142,1520,714
365,1502,868,1392,1186,1414,698
366,1448,854,1508,1122,1496,710
367,1396,750,1426,1164,1424,688
368,1476,762,1496,1398,1330,690
369,1468,774,1564,1218,1470,688
370,1458,760,1504,808,1462,688
371,1484,760,1578,1270,1532,720
372,1470,790,1550,1258,1462,698
373,1494,774,1526,1300,1526,684
374,1468,762,1466,1316,1528,686
375,1392,778,1492,1212,1530,672
376,1436,746,1502,1290,1466,660
377,1390,758,1566,1372,1512,668
378,1422,746,1536,1228,1452,668
379,1382,754,1334,1092,1510,674
380,1360,800,1510,1158,1410,642
381,1396,770,1472,868,1378,654
382,1508,752,1560,758,1448,654
383,1574,780,1552,850,1530,654
384,1526,778,1530,688,1442,690
385,1442,850,1570,906,1426,716
386,1256,810,1586,980,1442,656
387,1408,768,1478,930,1426,646
388,1406,692,1454,850,1516,618
389,1400,784,1532,1002,1518,602
390,1472,766,1480,1190,1436,670
391,1480,758,1550,1206,1506,724
392,1494,768,1518,1204,1492,700
393,1336,720,1486,1226,1516,730
394,1288,768,1488,1166,1464,742
395,1234,776,1478,1134,1524,724
396,1418,734,1472,1150,1546,742
397,1440,692,1472,1316,1450,700
398,1470,702,1528,1260,1510,656
399,1446,786,1516,1308,1478,692
400,1354,824,1492,1348,1520,692
401,1338,734,1446,1362,1512,664
402,1516,758,1368,1416,1552,640
403,1258,782,1502,1322,1570,680
404,1360,758,1558,1126,1560,680
405,1402,744,1590,1148,1554,710
406,1310,788,1396,1360,1508,732
407,1250,778,1492,1272,1504,714
408,1512,808,1558,1018,1500,736
409,1460,828,1518,1054,1504,740
410,1418,814,1436,1312,1460,774
411,1388,842,1514,1324,1506,710
412,1464,768,1462,1360,1482,688
413,1408,882,1464,1338,1450,730
414,1436,752,1466,1490,1472,696
415,1430,788,1508,1298,1436,584
416,1426,812,1436,1336,1486,574
417,1426,878,1516,1306,1484,650
418,1528,810,1510,1360,1532,650
419,1438,760,1532,1252,1476,650
420,1424,748,1492,1204,1368,718
421,1434,792,1470,1210,1438,720
